id,sugar,total_fat,cluster
1977346,0.0,26.67,2
1962738,0.0,0.0,0
1851860,0.0,32.14,2
467344,3.57,25.0,2
631912,10.0,0.0,0
742060,32.14,0.0,1
879004,41.03,30.77,3
1312630,33.33,27.78,3
1489634,0.0,0.0,0
1940719,3.45,0.0,0
1944607,23.73,2.12,1
511975,21.43,3.57,1
2118355,6.67,16.67,0
1154165,38.46,20.0,3
1519107,48.89,20.0,3
836316,0.0,32.14,2
1361620,15.83,5.83,0
1091395,31.82,7.95,1
1830118,40.0,2.5,1
1289413,0.0,30.3,2
1394862,14.29,0.0,0
1325276,29.17,10.42,1
1673608,60.0,0.0,1
1979238,0.71,15.0,0
683318,4.35,26.09,2
1639196,0.0,0.0,0
1982293,2.86,0.0,0
600456,1.07,12.83,0
2033303,26.32,7.02,1
940726,2.0,16.0,0
1840895,6.33,2.53,0
1977639,28.57,3.57,1
649756,1.41,8.94,0
1730430,2.94,10.0,0
1559230,16.0,22.0,2
2066377,1.01,0.0,0
520780,0.0,17.54,2
1303409,0.0,28.57,2
1267223,12.94,4.12,0
595336,0.0,39.29,2
613662,0.0,1.67,0
1574623,33.33,13.33,1
1542225,0.0,32.14,2
1723021,0.0,41.18,2
2180274,1.19,3.57,0
1824594,0.0,25.0,2
1368130,21.05,15.79,1
1296783,15.08,0.0,0
1919581,26.32,7.89,1
1320196,11.54,0.0,0
1466308,14.84,7.03,0
1423440,11.76,11.76,0
1500668,38.46,8.65,1
657026,30.77,9.62,1
1854951,2.86,8.57,0
2057693,37.21,20.93,3
635854,0.0,0.0,0
373280,0.0,34.88,2
1475515,0.0,30.43,2
1834437,3.57,0.0,0
2056069,2.78,0.0,0
1763881,43.04,18.99,3
405810,8.89,0.0,0
1912334,6.76,0.0,0
1563104,27.27,0.0,1
1735222,1.18,8.24,0
1692767,3.57,35.71,2
1190771,3.57,32.14,2
1253417,0.0,11.5,0
619140,6.67,13.33,0
1656116,0.0,0.0,0
599788,24.44,1.48,1
1246308,0.0,30.43,2
456889,28.12,31.25,3
2031948,26.67,0.0,1
1590159,0.0,0.0,0
1941034,35.0,0.0,1
667474,27.66,14.89,1
1306235,1.72,10.78,0
1664517,14.67,3.33,0
2049610,2.54,0.0,0
2017703,6.67,23.33,2
775390,45.0,0.0,1
1312692,12.5,0.0,0
1683112,13.57,0.71,0
379958,12.3,0.0,0
1840509,18.42,5.26,0
392506,10.0,6.0,0
1363074,3.45,9.66,0
1591145,4.31,0.0,0
1286270,3.57,17.86,2
1954619,31.25,18.75,3
1368091,24.14,10.34,1
2022607,46.67,26.67,3
1255603,1.79,28.57,2
752778,17.5,5.5,0
1247041,0.0,26.67,2
795901,19.4,10.45,1
1969057,2.95,0.0,0
2135250,3.33,20.0,2
405542,21.84,0.0,1
921302,13.79,3.45,0
1646490,30.88,10.29,1
1666712,3.57,28.57,2
1860078,7.14,32.14,2
2191879,2.94,0.0,0
378243,2.94,5.88,0
564190,1.67,16.67,0
1675738,2.5,7.5,0
1855897,5.36,1.79,0
1460190,48.0,12.0,1
1237515,60.71,17.86,3
622456,31.25,4.69,1
1795203,53.57,16.07,3
1637375,2.56,7.69,0
765484,0.0,0.44,0
1716991,3.33,7.5,0
1344157,43.48,0.0,1
1749292,0.0,0.0,0
1702582,33.33,0.0,1
1113367,23.08,25.64,3
1657679,1.79,23.21,2
1817837,1.63,3.27,0
464772,3.57,0.0,0
542805,21.15,14.42,1
1242225,3.57,25.0,2
386171,2.33,16.28,0
2121533,0.71,4.29,0
1619849,1.18,0.0,0
1495022,0.82,1.22,0
1521357,7.14,25.0,2
689838,0.0,32.14,2
1002881,3.45,6.9,0
1405728,0.0,17.86,2
942208,3.57,21.43,2
1914562,0.0,2.17,0
1463923,20.0,0.0,0
1187171,1.18,0.0,0
1260933,9.38,46.88,2
1826218,15.93,1.77,0
369172,20.93,4.65,1
1767205,0.0,0.0,0
388153,24.49,34.69,3
1786920,16.67,30.0,2
448245,2.0,0.0,0
1615792,2.48,0.0,0
1543768,3.33,26.67,2
574886,41.03,7.69,1
1348179,22.35,8.24,1
2139226,0.0,1.79,0
1304651,57.14,26.19,3
522550,17.86,7.14,0
1333217,10.83,0.0,0
1405305,33.33,21.21,3
1608594,50.0,35.0,3
1810060,42.86,28.57,3
1623358,0.0,1.79,0
1057987,2.7,2.7,0
347324,0.82,0.82,0
468673,0.0,1.16,0
361375,33.33,17.78,1
2182647,1.0,12.1,0
1771429,50.0,36.67,3
1367254,0.0,1.04,0
348302,5.0,3.75,0
505899,4.49,0.0,0
659430,0.0,30.0,2
1590287,12.5,0.0,0
501161,10.0,0.0,0
1966561,4.84,0.81,0
1822181,0.0,8.04,0
1950447,3.38,0.0,0
350260,10.67,3.11,0
1666019,21.13,3.52,1
1662425,6.67,23.33,2
605226,2.17,7.61,0
1567232,2.67,0.0,0
1826896,10.71,25.0,2
1655047,0.0,1.79,0
528294,24.62,10.77,1
1409727,0.0,9.41,0
1310474,0.0,0.0,0
1081423,7.14,28.57,2
1616458,44.26,19.67,3
1273666,33.93,12.5,1
933974,3.33,11.67,0
1781805,50.0,0.0,1
1530815,14.58,0.0,0
1177251,10.0,35.0,2
1888475,26.15,13.85,1
1223916,34.38,12.5,1
478556,57.89,0.0,1
584413,0.0,0.0,0
347756,0.0,1.79,0
1076215,3.33,16.67,0
2091662,1.77,10.86,0
2089828,0.0,2.21,0
662424,31.11,8.89,1
1145416,5.83,0.0,0
1996491,51.61,0.0,1
2017592,14.16,0.0,0
939066,3.33,23.33,2
1300387,10.59,1.18,0
2168213,32.43,0.0,1
1514389,53.33,0.0,1
1720448,1.79,1.79,0
1160884,0.88,9.73,0
1360307,3.12,50.0,2
644932,1.19,5.95,0
359447,1.11,0.0,0
537186,0.0,0.39,0
540521,4.0,0.0,0
706146,10.0,0.0,0
1702937,54.0,28.0,3
1368267,5.88,35.29,2
1224010,0.0,43.33,2
600274,3.53,4.12,0
1507907,3.33,16.67,0
687326,21.82,9.09,1
2192944,3.57,35.71,2
1084525,1.64,16.39,0
1171066,0.0,0.0,0
1833009,15.93,0.0,0
360192,23.53,0.0,1
2019562,0.0,10.0,0
496009,0.0,0.0,0
471624,52.38,21.43,3
1901818,3.75,13.75,0
1951538,0.0,0.0,0
1866229,0.0,0.0,0
501435,3.33,30.0,2
515764,28.24,24.71,3
451407,11.76,0.0,0
667986,13.0,11.0,0
2151880,5.71,5.71,0
1988193,6.06,1.01,0
1656895,26.19,16.67,1
617360,0.0,25.0,2
1887641,23.94,11.27,1
1497649,28.57,40.48,3
2103679,6.22,4.56,0
1512296,0.0,32.14,2
1385878,28.0,20.0,3
807215,10.91,6.36,0
1302402,1.25,0.0,0
1375639,0.0,0.0,0
400227,2.33,16.28,0
2076309,2.3,0.0,0
1327005,6.67,0.42,0
599516,3.85,5.38,0
1719843,3.53,0.0,0
416878,16.25,0.0,0
2176163,27.78,19.44,3
1503185,0.0,0.0,0
1416749,1.47,3.24,0
1288508,0.0,0.0,0
1175603,0.71,3.29,0
2195211,10.42,3.33,0
362442,1.18,23.53,2
1556486,32.43,6.76,1
1621202,1.82,6.36,0
1470950,22.73,0.0,1
442279,54.05,0.0,1
1996419,3.57,50.0,2
1248901,3.54,2.21,0
1667525,1.56,7.81,0
518069,0.0,0.0,0
2118555,2.48,0.0,0
379745,0.0,25.0,2
1507623,0.77,0.0,0
604142,35.71,28.57,3
1233026,5.22,1.61,0
2145220,4.26,6.38,0
1426950,0.0,8.0,0
2124937,32.14,3.57,1
1607830,0.89,0.45,0
1782159,3.33,0.0,0
1129790,0.0,18.31,2
1598246,10.59,1.18,0
1770028,28.57,8.57,1
1287649,4.58,1.04,0
1791054,1.18,0.0,0
769624,7.8,23.5,2
568339,1.27,0.0,0
1417915,3.33,25.0,2
1984579,6.0,14.0,0
1426699,8.57,0.0,0
1209518,0.0,5.0,0
1310791,3.57,28.57,2
1591054,13.33,0.0,0
1731685,5.25,0.0,0
1562889,4.58,3.33,0
1017425,1.6,0.4,0
1836463,5.19,3.7,0
1059177,6.67,0.0,0
1715669,2.42,0.0,0
2144406,29.03,19.35,3
1464542,15.04,0.0,0
433369,0.0,0.0,0
371135,4.49,0.0,0
2072400,4.53,2.13,0
1426824,1.18,9.41,0
1356363,4.31,1.18,0
1306856,1.74,6.96,0
2104834,0.71,17.73,2
2015075,6.45,14.52,0
1024205,3.33,40.0,2
2203504,1.79,1.79,0
1018865,9.73,0.0,0
1380178,8.33,5.95,0
2043984,9.58,0.0,0
1153105,0.0,32.14,2
536314,0.0,21.43,2
1212067,26.32,0.0,1
1387586,3.57,32.14,2
487154,1.69,9.04,0
737488,10.48,0.0,0
423633,50.0,30.0,3
1010665,11.76,0.0,0
1977322,0.0,1.25,0
350926,10.97,0.0,0
1866332,52.5,37.5,3
2123796,16.28,48.84,2
1775003,0.0,32.14,2
1958411,4.8,1.2,0
1743490,0.0,28.57,2
1282272,24.24,10.1,1
1302960,0.0,10.83,0
716620,1.12,0.0,0
1181574,12.7,18.25,2
1320519,0.0,21.43,2
1969196,15.22,13.04,0
1777001,0.0,0.0,0
368559,4.92,0.0,0
1285370,2.22,3.33,0
1473797,0.0,2.22,0
1732094,10.0,0.0,0
1793829,3.57,14.29,0
1480805,3.03,0.0,0
1523689,54.76,33.33,3
423602,32.14,28.57,3
1930399,32.0,14.0,1
489305,0.0,2.13,0
1793620,4.42,1.33,0
1234735,43.48,26.09,3
948454,45.95,24.32,3
1233670,21.43,16.07,1
2031582,0.0,0.0,0
1548952,50.0,0.0,1
1384708,13.86,0.0,0
445362,0.0,32.14,2
2170903,53.85,19.23,3
2038553,0.0,32.14,2
1619523,41.38,20.69,3
559255,17.11,4.61,0
1108481,20.0,0.0,0
916098,40.74,22.22,3
770032,6.3,0.0,0
1936145,0.0,7.14,0
1365817,23.44,0.0,1
2157539,13.33,6.67,0
1598824,7.14,3.57,0
461981,6.67,50.0,2
1661140,30.56,0.0,1
1314660,10.53,14.04,0
1355579,8.0,12.0,0
1268004,1.67,10.0,0
2063405,0.0,31.25,2
1587866,32.69,9.62,1
1296586,13.33,23.33,2
1194219,2.48,0.0,0
2109258,7.92,0.0,0
1000723,41.67,2.78,1
840900,6.25,43.75,2
405861,1.77,3.89,0
2060999,7.0,0.0,0
2203006,15.38,11.54,0
461426,1.18,11.76,0
357966,3.57,10.71,0
1777933,0.0,1.67,0
1925566,3.23,1.61,0
1292366,0.0,22.81,2
2101045,2.48,0.0,0
535537,5.33,0.0,0
1748167,0.0,0.0,0
1348307,53.57,21.43,3
1608683,7.69,11.54,0
1809655,11.76,0.0,0
1674333,26.27,1.69,1
1469489,3.23,0.0,0
1702679,3.36,10.74,0
1822922,25.0,12.5,1
1976434,0.0,32.14,2
568591,4.76,3.57,0
1698950,0.0,0.0,0
1126131,12.31,0.0,0
1660076,16.67,23.33,2
1988548,17.86,21.43,2
967549,1.72,6.03,0
1993839,10.0,0.0,0
1704617,0.0,12.5,0
1550392,0.0,0.0,0
1553646,0.0,45.83,2
595221,60.0,0.0,1
1496722,20.83,20.83,2
1527456,35.0,37.5,3
770072,60.0,30.0,3
1507269,9.3,2.33,0
1152065,3.45,24.14,2
1786134,3.12,11.72,0
1552103,2.82,11.97,0
1364206,3.57,28.57,2
865644,27.5,35.0,3
1364562,12.28,0.0,0
1715045,0.0,2.4,0
1275901,3.53,17.65,2
507216,0.92,12.88,0
2197894,9.17,0.0,0
1972533,0.0,33.33,2
1654919,12.08,0.0,0
452113,0.0,0.0,0
2097408,56.52,0.0,1
1160948,4.71,0.0,0
1611518,19.7,6.06,1
1593481,3.57,35.71,2
2065505,4.8,3.2,0
1387989,0.0,0.0,0
1613703,22.22,0.0,1
855716,15.15,1.52,0
408424,10.0,0.0,0
1848541,7.33,1.33,0
2049830,47.5,17.5,3
678720,8.33,1.25,0
1422615,0.0,33.33,2
1896328,6.67,0.0,0
2195982,25.0,10.29,1
1792297,15.0,6.67,0
1411739,3.23,6.45,0
2127130,23.33,17.78,1
1982943,6.67,46.67,2
1593781,54.55,0.0,1
397954,23.53,0.0,1
438206,32.14,28.57,3
420788,14.29,21.43,2
1921200,1.79,1.79,0
395405,50.0,0.0,1
1306563,0.71,11.43,0
2073700,3.57,50.0,2
1804073,18.75,3.12,0
644550,3.33,10.0,0
1589335,0.0,0.0,0
862170,25.93,9.26,1
1312407,17.65,0.0,0
369155,7.07,4.04,0
397541,0.0,30.0,2
1603607,37.5,0.0,1
605446,28.57,0.0,1
1124080,3.89,3.53,0
1025265,25.0,11.36,1
1042841,3.2,0.0,0
446619,27.08,22.92,3
1584996,0.0,0.0,0
1556600,4.64,7.28,0
1503318,15.38,15.38,0
1871881,7.63,1.06,0
1522834,3.57,25.0,2
585736,21.05,0.0,1
1860109,0.0,21.43,2
2195849,0.0,3.33,0
1495197,5.88,8.82,0
1290614,37.5,15.62,1
2080350,3.33,0.0,0
968863,14.16,0.0,0
519099,40.0,0.0,1
1039657,15.56,3.33,0
1652889,0.0,1.36,0
586295,12.45,1.66,0
1415812,3.33,0.0,0
1222941,12.9,45.16,2
1869648,1.64,1.64,0
1181704,5.0,0.0,0
1311232,0.0,0.0,0
2088235,3.57,46.43,2
1976297,40.0,33.33,3
1131515,11.81,0.0,0
1279045,3.28,0.0,0
566825,0.0,32.14,2
2067717,12.31,0.38,0
1080287,3.53,4.12,0
1604247,7.86,0.36,0
1180840,0.0,28.57,2
1927959,13.75,0.0,0
2024309,6.67,13.33,0
1540807,6.25,25.0,2
2045599,27.27,39.39,3
1509332,3.03,24.24,2
524213,4.29,3.57,0
1895461,0.0,11.82,0
494883,11.25,0.0,0
367786,4.8,0.4,0
503029,4.55,6.82,0
939206,0.0,26.09,2
1561357,8.93,21.43,2
1842672,30.0,20.0,3
567918,39.47,42.11,3
2189696,4.17,10.0,0
1789673,0.0,0.0,0
1820498,16.81,0.0,0
1711394,2.86,10.0,0
1868080,47.5,0.0,1
1185107,27.03,0.0,1
556483,0.0,28.57,2
2128869,27.12,7.63,1
504475,42.86,19.05,3
472221,23.53,18.63,1
1744221,8.86,0.0,0
1881894,8.75,0.0,0
2105727,1.19,2.38,0
1574005,0.0,4.5,0
1349783,13.33,3.33,0
1543561,0.0,32.14,2
1578902,0.0,6.25,0
911788,0.0,46.67,2
2150700,7.3,0.0,0
1582068,0.0,0.89,0
1977767,0.0,1.6,0
1572593,20.0,3.33,0
1607562,23.08,0.0,1
1137515,0.0,29.63,2
1405172,3.57,32.14,2
736086,2.02,4.04,0
952769,0.0,0.0,0
664774,3.51,2.63,0
1788624,0.0,35.71,2
2061334,2.68,5.36,0
1409701,21.05,24.56,2
1331991,10.0,0.5,0
1622283,8.18,5.45,0
1701747,0.0,0.0,0
591608,0.66,1.64,0
818876,0.0,2.98,0
484129,6.47,0.0,0
1597955,34.62,20.51,3
1194889,1.67,0.0,0
559548,3.33,11.67,0
1584337,28.57,0.0,1
1028115,0.0,25.0,2
1125452,26.47,26.47,3
1366273,0.0,8.54,0
594477,1.82,14.55,0
1759815,0.0,21.43,2
1584970,10.63,0.0,0
1152397,43.33,10.0,1
568279,0.0,0.0,0
1767649,0.0,26.42,2
1906980,38.89,30.56,3
2041258,40.0,16.0,1
1061287,2.0,40.0,2
1481960,1.3,27.27,2
2150508,35.29,35.29,3
1637722,0.0,0.0,0
638120,4.44,0.0,0
1636664,32.0,1.0,1
1561611,3.79,4.55,0
1942881,0.0,16.92,0
2172034,25.0,7.14,1
1365540,0.0,33.33,2
1346464,4.58,3.33,0
2149660,21.9,10.48,1
588694,3.57,16.07,0
1073845,16.67,8.33,0
1489409,3.33,1.67,0
1658233,1.32,11.84,0
1323627,28.0,12.0,1
1208007,4.0,12.0,0
1115525,1.94,4.85,0
460198,7.58,0.0,0
1199845,12.67,0.0,0
1147134,19.12,11.76,1
958023,37.14,1.43,1
1522901,11.83,0.0,0
505774,34.94,20.48,3
449907,10.39,0.0,0
1511588,44.74,18.42,3
1727869,7.5,1.25,0
1083637,0.0,14.29,0
911020,3.57,2.68,0
1427508,3.57,26.79,2
745202,19.67,2.46,0
462789,0.94,4.69,0
1373028,1.6,0.4,0
472746,43.86,19.3,3
2187876,9.33,0.0,0
2174697,46.67,3.33,1
1962905,0.0,28.57,2
1171603,3.57,16.07,0
1965589,38.24,11.76,1
1502922,0.0,33.33,2
369798,9.86,0.0,0
792775,14.67,6.0,0
360755,28.12,2.03,1
1851574,29.41,0.0,1
1417430,40.0,18.33,3
1759558,3.57,8.93,0
1930188,3.57,0.0,0
1253171,15.62,9.38,0
1608232,0.0,0.0,0
1582282,0.0,17.65,2
1826268,20.0,0.0,0
1411979,3.57,2.68,0
2144154,20.18,0.0,0
1799097,8.05,0.0,0
1939499,21.88,12.5,1
817180,0.0,13.33,0
1418636,4.92,0.0,0
1095613,0.0,0.0,0
1892849,6.45,0.0,0
1310674,7.61,0.0,0
376107,1.19,10.71,0
1531182,3.57,39.29,2
1759500,11.33,3.0,0
1128990,0.0,0.0,0
1065827,0.0,0.0,0
1698918,20.0,20.0,2
1331066,3.57,1.79,0
1862159,41.18,0.0,1
1862032,5.6,2.8,0
458793,15.0,2.92,0
348877,0.42,1.69,0
1619244,1.64,0.0,0
947664,8.33,4.17,0
1963175,11.55,0.0,0
1150861,24.56,12.28,1
1139102,0.0,46.67,2
1772244,32.14,25.0,3
2044387,11.67,0.0,0
419409,3.57,25.0,2
2203765,26.09,26.09,3
1886801,0.0,6.67,0
584307,22.5,35.0,2
470328,0.0,0.0,0
1021887,26.67,0.0,1
835694,0.0,10.0,0
421163,3.33,30.0,2
1080227,0.0,0.0,0
1518691,14.71,20.59,2
